Id2,Total,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Two races including Some other race,"Two races excluding Some other race, and three or more races"
250251004001,1491,167,850,0,407,0,0,67,67,0
250251004002,1323,372,732,170,0,0,36,13,8,5
250251004003,932,70,632,0,0,0,211,19,0,19
250251004004,1921,120,1481,4,0,0,111,205,3,202
250251005001,1042,143,490,0,356,0,52,1,0,1
250251005002,1116,651,298,0,50,0,117,0,0,0
250251005003,1065,450,358,0,220,0,0,37,0,37
250251005004,2268,109,2124,0,0,0,0,35,0,35
250251005005,1846,239,1437,33,0,0,0,137,40,97
250251006011,1018,418,78,0,415,0,107,0,0,0
250251006012,1137,405,374,0,145,0,0,213,0,213
250251006013,1793,168,1405,0,78,0,117,25,0,25
250251006014,1955,828,744,0,314,0,0,69,0,69
250251006031,1402,1055,216,0,110,0,0,21,0,21
250251006032,690,510,166,0,12,0,1,1,1,0
250251007001,886,861,9,0,10,0,0,6,0,6
250251007002,1117,973,72,0,35,0,0,37,0,37
250251007003,736,733,1,0,0,0,0,2,0,2
250251007004,962,849,0,0,104,0,9,0,0,0
250251007005,716,549,161,0,6,0,0,0,0,0
250251008001,634,117,300,0,217,0,0,0,0,0
250251008002,972,555,183,0,75,0,69,90,0,90
250251008003,794,510,151,0,50,0,0,83,0,83
250251008004,1753,947,603,0,0,0,0,203,0,203
250251008005,948,821,71,0,56,0,0,0,0,0
250251008006,1482,646,613,0,223,0,0,0,0,0
250251009001,689,309,162,125,77,0,8,8,0,8
250251009002,659,244,324,0,91,0,0,0,0,0
250251009003,977,317,537,0,29,0,38,56,0,56
250251009004,730,0,697,0,24,0,0,9,0,9
250251009005,1141,315,577,0,98,0,151,0,0,0
250251010011,411,37,329,0,0,0,27,18,0,18
250251010012,618,48,534,0,0,0,0,36,0,36
250251010013,627,0,581,0,0,0,24,22,0,22
250251010014,1865,46,1789,0,0,0,0,30,0,30
250251010015,912,125,787,0,0,0,0,0,0,0
250251010016,1912,242,1642,0,0,0,0,28,0,28
250251010021,1012,232,728,0,0,0,0,52,0,52
250251010022,2457,216,2158,18,0,0,26,39,0,39
250251010023,2310,84,2098,0,4,0,66,58,5,53
250251011011,1030,27,865,0,0,0,77,61,61,0
250251011012,1255,33,1183,0,0,0,0,39,39,0
250251011013,1504,42,1347,0,68,0,17,30,0,30
250251011021,1020,0,986,0,0,0,18,16,0,16
250251011022,1641,175,1453,0,0,0,13,0,0,0
250251011023,1067,18,1031,0,0,0,0,18,0,18
250251011024,1340,104,1022,0,62,0,141,11,11,0
250251101031,833,569,214,0,0,0,24,26,0,26
250251101032,660,333,316,0,0,0,11,0,0,0
250251101033,271,128,120,0,0,0,23,0,0,0
250251101034,789,305,57,0,77,0,339,11,0,11
250251101035,1708,906,285,0,296,0,23,198,0,198
250251101036,954,835,101,0,0,0,18,0,0,0
250251101037,1088,489,431,0,50,0,56,62,0,62
250251102011,2512,779,1113,14,16,0,473,117,59,58
