Id2,Total,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
250251302005,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,20,107,137,18,204,138,41,0
250251303001,562,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,21,32,25,30,75,156,155,26,32
250251303002,805,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,139,0,42,81,89,209,150,56,20
250251303003,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,40,23,56,0,174,133,28,0
250251303004,1035,21,0,0,0,0,0,0,0,0,0,0,0,13,35,36,160,12,0,160,82,237,212,26,41
250251303005,532,1,0,0,0,0,1,4,0,0,0,1,11,0,0,0,105,10,21,0,20,235,73,31,19
250251304021,947,0,0,0,0,0,0,0,0,14,0,0,0,0,0,15,286,48,0,89,139,109,203,22,22
250251304022,762,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,142,42,0,97,43,197,116,44,66
250251304023,737,52,0,0,0,0,0,14,0,21,0,14,0,0,0,39,239,25,21,88,34,62,109,19,0
250251304024,844,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,56,101,12,180,210,34,0
250251304025,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,125,16,19,67,59,187,72,26,36
250251304041,1707,67,0,0,32,0,0,0,5,16,33,6,30,37,31,64,298,51,88,221,136,351,157,18,66
250251304042,502,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,89,10,33,32,41,168,85,9,19
250251304043,366,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,141,0,0,32,16,100,66,0,0
250251304061,1443,0,0,0,0,0,0,0,0,0,0,96,37,10,83,36,229,217,107,270,75,154,129,0,0
250251304062,1871,44,13,0,0,0,0,0,26,44,0,0,0,56,49,112,193,20,85,366,81,481,228,50,23
250251304063,561,31,0,0,0,0,0,49,0,0,0,3,0,0,36,34,167,13,0,16,20,123,42,0,27
250251401021,1070,0,0,0,0,0,0,7,0,0,0,0,53,91,63,6,298,14,72,163,20,177,74,32,0
250251401022,948,49,0,0,0,0,0,0,0,0,0,8,0,9,13,30,199,78,73,154,60,206,48,11,10
250251401023,642,0,0,0,0,0,0,0,0,12,0,17,0,0,22,5,196,0,8,63,67,177,65,1,9
250251401024,1031,23,0,0,0,0,0,0,13,0,0,0,0,0,6,21,223,11,25,220,112,191,171,15,0
250251401051,2007,41,0,0,0,0,0,0,16,9,23,0,0,37,11,12,449,68,141,269,217,443,222,29,20
250251401052,858,33,0,0,0,0,0,0,0,19,21,7,0,33,28,13,125,25,41,361,74,58,20,0,0
250251401061,871,20,0,0,0,0,0,0,0,6,0,11,0,24,27,12,261,49,14,162,56,128,62,19,20
250251401062,472,24,0,0,0,0,0,24,0,7,0,0,0,25,16,6,152,36,12,98,19,37,6,0,10
250251401071,1463,36,0,0,0,0,0,0,6,0,0,8,0,60,20,19,340,23,29,230,148,307,194,13,30
250251401072,535,0,0,0,0,0,0,15,0,0,0,0,14,0,26,25,129,6,13,82,25,108,73,5,14
250251402011,778,9,0,0,0,0,21,0,0,18,4,0,6,0,22,0,247,5,81,86,72,132,60,0,15
250251402012,975,0,0,0,0,0,0,9,0,0,0,0,4,4,20,71,227,36,90,151,78,175,99,11,0
250251402021,774,0,0,0,0,0,0,0,0,0,0,0,11,8,0,10,306,12,82,75,50,140,80,0,0
250251402022,1020,20,0,0,0,0,0,0,0,0,0,30,0,10,0,29,337,6,71,136,141,221,19,0,0
250251402023,792,35,0,0,0,0,0,0,3,0,0,0,42,39,2,27,122,8,25,121,80,201,68,17,2
250251402024,1312,6,0,0,0,0,0,0,0,0,0,61,24,0,38,16,294,34,43,199,166,234,148,49,0
250251402025,586,0,0,0,0,0,9,0,0,8,0,0,0,0,0,8,128,0,36,67,48,207,62,0,13
250251403001,675,14,0,0,0,17,0,0,0,0,0,0,0,33,0,0,143,0,85,150,30,100,71,32,0
250251403002,802,0,0,0,0,0,25,0,0,0,52,17,0,0,0,31,206,97,41,42,68,204,19,0,0
