Id2,Total,"Car, truck, or van",Public transportation (excluding taxicab),Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
2.50251E+11,435,301,101,0,0,0,21,0,12
2.50251E+11,670,485,91,0,0,0,19,0,75
2.50251E+11,546,318,191,0,0,0,0,28,9
2.50251E+11,551,434,83,0,0,19,0,15,0
2.50251E+11,657,567,90,0,0,0,0,0,0
2.50251E+11,500,495,5,0,0,0,0,0,0
2.50251E+11,973,668,254,0,0,0,32,9,10
2.50251E+11,354,309,37,0,0,8,0,0,0
2.50251E+11,268,221,35,0,0,0,0,0,12
2.50251E+11,1301,916,363,0,0,0,0,0,22
2.50251E+11,1195,969,183,0,0,0,0,16,27
2.50251E+11,337,266,71,0,0,0,0,0,0
2.50251E+11,781,594,187,0,0,0,0,0,0
2.50251E+11,682,529,108,0,0,0,10,27,8
2.50251E+11,412,318,79,0,0,0,0,3,12
2.50251E+11,792,660,115,0,0,0,0,0,17
2.50251E+11,1654,1301,290,13,0,0,12,11,27
2.50251E+11,689,338,295,0,0,0,1,32,23
2.50251E+11,739,505,208,0,0,0,0,23,3
2.50251E+11,294,157,78,0,0,0,0,6,53
2.50251E+11,1115,791,265,0,0,7,33,5,14
2.50251E+11,428,344,42,0,0,5,1,0,36
2.50251E+11,596,439,151,0,0,0,6,0,0
2.50251E+11,833,669,161,0,0,0,3,0,0
